antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"unknown, computers.components.videocards, computers.components.motherboard",computers.components.power_supply,0.014653390944955852,0.03250046965996618,0.011459703174901371,0.782051282051282,24.06276863791315,1.0,0.01098346108707921,4.439115492148391,0.9726953070058917,0.32105263157894737,0.7747298979337814,0.5673262190603231
computers.components.power_supply,"unknown, computers.components.videocards, computers.components.motherboard",0.03250046965996618,0.014653390944955852,0.011459703174901371,0.35260115606936415,24.062768637913145,1.0,0.01098346108707921,1.5220086014868093,0.9906382301448353,0.32105263157894737,0.34297348975352243,0.5673262190603231
"unknown, computers.components.motherboard","computers.components.cpu, computers.components.videocards",0.02216795040390757,0.02705241405222619,0.013901934999060681,0.6271186440677967,23.181614877589457,1.0,0.013302238426044959,2.609268525950849,0.9785549237998806,0.39361702127659576,0.6167508288034141,0.5705037664783428
"computers.components.cpu, computers.components.videocards","unknown, computers.components.motherboard",0.02705241405222619,0.02216795040390757,0.013901934999060681,0.513888888888889,23.181614877589457,1.0,0.013302238426044959,2.011540216311962,0.9834675378216603,0.39361702127659576,0.5028685025082721,0.5705037664783428
"computers.components.cpu, unknown, computers.components.videocards",computers.components.power_supply,0.015592710877324816,0.03250046965996618,0.011647567161375164,0.746987951807229,22.98391252872763,1.0,0.011140796734590045,3.823926715153468,0.9716418369859641,0.31958762886597936,0.7384887121300737,0.5526847273487012
computers.components.power_supply,"computers.components.cpu, unknown, computers.components.videocards",0.03250046965996618,0.015592710877324816,0.011647567161375164,0.3583815028901734,22.98391252872763,1.0,0.011140796734590045,1.5342564055695747,0.9886219855934858,0.31958762886597936,0.34821846180999866,0.5526847273487012
"computers.components.cpu, unknown, computers.components.motherboard",computers.components.power_supply,0.019913582566222054,0.03250046965996618,0.013526207026113094,0.679245283018868,20.899552841094998,1.0,0.012879006240098363,3.016322065177753,0.9714980938385193,0.3478260869565218,0.6684704158270747,0.547715127058567
computers.components.power_supply,"computers.components.cpu, unknown, computers.components.motherboard",0.03250046965996618,0.019913582566222054,0.013526207026113094,0.4161849710982659,20.899552841094994,1.0,0.012879006240098363,1.6787618833271643,0.9841370010787488,0.3478260869565218,0.4043229061062046,0.547715127058567
"computers.components.cpu, computers.components.videocards, computers.components.motherboard",computers.components.power_supply,0.019913582566222054,0.03250046965996618,0.012962615066691715,0.6509433962264151,20.028738139382703,1.0,0.012315414280676984,2.771755411244421,0.9693754809388482,0.3285714285714286,0.6392178054588752,0.5248936634311266
computers.components.power_supply,"computers.components.cpu, computers.components.videocards, computers.components.motherboard",0.03250046965996618,0.019913582566222054,0.012962615066691715,0.3988439306358382,20.028738139382703,1.0,0.012315414280676984,1.6303360597696501,0.9819867736034896,0.3285714285714286,0.3866295270796562,0.5248936634311266
"unknown, computers.components.motherboard",computers.components.power_supply,0.02216795040390757,0.03250046965996618,0.014089798985534472,0.635593220338983,19.5564318604879,1.0,0.01336933018600864,2.654998711165674,0.9703772014089017,0.34722222222222227,0.6233519828862926,0.5345596159498384
computers.components.power_supply,"unknown, computers.components.motherboard",0.03250046965996618,0.02216795040390757,0.014089798985534472,0.43352601156069365,19.5564318604879,1.0,0.01336933018600864,1.726172903878816,0.9807404530744337,0.34722222222222227,0.4206837578362291,0.5345596159498384
"computers.components.videocards, computers.components.motherboard",computers.components.power_supply,0.02329513432275033,0.03250046965996618,0.014465526958482059,0.6209677419354839,19.106423643483126,1.0,0.013708424152200674,2.552551952386472,0.9702640118104631,0.35,0.6082352020043846,0.533027223568898
computers.components.power_supply,"computers.components.videocards, computers.components.motherboard",0.03250046965996618,0.02329513432275033,0.014465526958482059,0.44508670520231214,19.106423643483126,1.0,0.013708424152200674,1.7601035600225439,0.9794956499810868,0.35,0.43185161219309626,0.533027223568898
"computers.components.power_supply, computers.components.videocards","computers.components.cpu, computers.components.motherboard",0.019537854593274468,0.034942701484125496,0.012962615066691715,0.6634615384615384,18.987127791563275,1.0,0.012279909645998675,2.867598829875741,0.96621041845431,0.31221719457013575,0.6512761863404262,0.5172146401985112
"computers.components.cpu, computers.components.motherboard","computers.components.power_supply, computers.components.videocards",0.034942701484125496,0.019537854593274468,0.012962615066691715,0.3709677419354838,18.987127791563275,1.0,0.012279909645998675,1.558683410646589,0.98163367216528,0.31221719457013575,0.3584328971685343,0.5172146401985112
"computers.components.cpu, unknown",computers.components.power_supply,0.023670862295697915,0.03250046965996618,0.014465526958482059,0.611111111111111,18.80314707771355,1.0,0.013696212816615492,2.4878559351600864,0.9697727710042507,0.34684684684684686,0.5980474649406687,0.5280989081567116
computers.components.power_supply,"computers.components.cpu, unknown",0.03250046965996618,0.023670862295697915,0.014465526958482059,0.44508670520231214,18.80314707771355,1.0,0.013696212816615492,1.7594264669046278,0.9786231244483672,0.34684684684684686,0.4316329674411983,0.5280989081567116
"computers.components.cpu, computers.components.motherboard","unknown, computers.components.videocards",0.034942701484125496,0.021228630471538605,0.013901934999060681,0.3978494623655914,18.741174231611,1.0,0.013160149301576897,1.625459595824052,0.9809174562921886,0.3288888888888889,0.3847893835263038,0.5263583595013798
